                             Datetime,open,high,low,close,volume,Interval,currency,exchange_timezone,exchange
25-08-2021 15:32,148.44,148.5,148.44,148.495,121528,1min,USD,America/New_York,Common Stock
25-08-2021 15:31,148.435,148.45,148.42999,148.44,82794,1min,USD,America/New_York,Common Stock
25-08-2021 15:30,148.3701,148.45,148.3701,148.435,139000,1min,USD,America/New_York,Common Stock
25-08-2021 15:29,148.31,148.39,148.31,148.3705,70763,1min,USD,America/New_York,Common Stock
25-08-2021 15:28,148.315,148.34,148.3101,148.315,59887,1min,USD,America/New_York,Common Stock
25-08-2021 15:27,148.32001,148.35001,148.315,148.31509,68258,1min,USD,America/New_York,Common Stock
25-08-2021 15:26,148.315,148.3499,148.31,148.31551,105210,1min,USD,America/New_York,Common Stock
25-08-2021 15:25,148.27499,148.31,148.27,148.30499,116743,1min,USD,America/New_York,Common Stock
25-08-2021 15:24,148.35561,148.35561,148.27,148.2701,97185,1min,USD,America/New_York,Common Stock
25-08-2021 15:23,148.3699,148.38,148.34,148.3524,90536,1min,USD,America/New_York,Common Stock
25-08-2021 15:22,148.38989,148.39999,148.36,148.36,62496,1min,USD,America/New_York,Common Stock
25-08-2021 15:21,148.425,148.42999,148.3703,148.38499,84499,1min,USD,America/New_York,Common Stock
25-08-2021 15:20,148.392,148.42799,148.39,148.42,61421,1min,USD,America/New_York,Common Stock
25-08-2021 15:19,148.4101,148.41901,148.36501,148.395,78405,1min,USD,America/New_York,Common Stock
25-08-2021 15:18,148.42,148.4201,148.39999,148.41499,76535,1min,USD,America/New_York,Common Stock
25-08-2021 15:17,148.34801,148.42999,148.345,148.425,170848,1min,USD,America/New_York,Common Stock
25-08-2021 15:16,148.285,148.345,148.25999,148.345,135142,1min,USD,America/New_York,Common Stock
25-08-2021 15:15,148.2963,148.35001,148.28,148.2807,80366,1min,USD,America/New_York,Common Stock
25-08-2021 15:14,148.27991,148.3067,148.265,148.295,78712,1min,USD,America/New_York,Common Stock
25-08-2021 15:13,148.30991,148.33,148.27,148.27,82425,1min,USD,America/New_York,Common Stock
25-08-2021 15:12,148.28999,148.32001,148.28999,148.30499,90079,1min,USD,America/New_York,Common Stock
25-08-2021 15:11,148.382,148.38499,148.28999,148.295,147897,1min,USD,America/New_York,Common Stock
25-08-2021 15:10,148.35001,148.38989,148.345,148.3837,93799,1min,USD,America/New_York,Common Stock
25-08-2021 15:09,148.355,148.38,148.34,148.34309,97244,1min,USD,America/New_York,Common Stock
25-08-2021 15:08,148.3299,148.36,148.32001,148.355,78812,1min,USD,America/New_York,Common Stock
25-08-2021 15:35,148.5,148.64,148.5,148.55499,559516,5min,USD,America/New_York,Common Stock
25-08-2021 15:30,148.3701,148.52,148.3701,148.495,635087,5min,USD,America/New_York,Common Stock
25-08-2021 15:25,148.27499,148.39,148.27,148.3705,420861,5min,USD,America/New_York,Common Stock
25-08-2021 15:20,148.392,148.42999,148.27,148.2701,396137,5min,USD,America/New_York,Common Stock
25-08-2021 15:15,148.2963,148.42999,148.25999,148.395,541296,5min,USD,America/New_York,Common Stock
25-08-2021 15:10,148.35001,148.38989,148.265,148.295,492912,5min,USD,America/New_York,Common Stock
25-08-2021 15:05,148.31,148.38,148.27,148.34309,371093,5min,USD,America/New_York,Common Stock
25-08-2021 15:00,148.25999,148.36,148.215,148.31841,522375,5min,USD,America/New_York,Common Stock
25-08-2021 14:55,148.295,148.37,148.24001,148.26109,652774,5min,USD,America/New_York,Common Stock
25-08-2021 14:50,148.2321,148.36,148.185,148.28841,599365,5min,USD,America/New_York,Common Stock
25-08-2021 14:45,148.19501,148.28,148.14999,148.235,502856,5min,USD,America/New_York,Common Stock
25-08-2021 14:40,148.00999,148.22,148,148.19,579112,5min,USD,America/New_York,Common Stock
25-08-2021 14:35,148.0892,148.11,148.00999,148.02499,387299,5min,USD,America/New_York,Common Stock
25-08-2021 14:30,148.03,148.16499,148.03,148.08,531557,5min,USD,America/New_York,Common Stock
25-08-2021 14:25,147.89999,148.03999,147.89,148.035,347392,5min,USD,America/New_York,Common Stock
25-08-2021 14:20,147.995,147.995,147.82001,147.895,469121,5min,USD,America/New_York,Common Stock
25-08-2021 14:15,147.995,148.03,147.8998,147.99989,458140,5min,USD,America/New_York,Common Stock
25-08-2021 14:10,148.05,148.065,147.92,147.995,566224,5min,USD,America/New_York,Common Stock
25-08-2021 14:05,147.89,148.0899,147.87,148.05499,745655,5min,USD,America/New_York,Common Stock
25-08-2021 14:00,147.855,147.91,147.82001,147.89,328086,5min,USD,America/New_York,Common Stock
25-08-2021 13:55,147.87,147.87,147.82001,147.86,316709,5min,USD,America/New_York,Common Stock
25-08-2021 13:50,147.9299,147.94501,147.84,147.86501,350498,5min,USD,America/New_York,Common Stock
25-08-2021 13:45,147.97,148,147.895,147.925,360731,5min,USD,America/New_York,Common Stock
25-08-2021 13:40,147.9899,147.9899,147.9899,147.9899,0,5min,USD,America/New_York,Common Stock
25-08-2021 13:35,147.95,147.97,147.91,147.935,211585,5min,USD,America/New_York,Common Stock
25-08-2021 13:30,148.035,148.10001,147.94,147.94501,718050,5min,USD,America/New_York,Common Stock
25-08-2021 13:25,148.0739,148.13,148.00999,148.03,409421,5min,USD,America/New_York,Common Stock
25-08-2021 13:20,148.105,148.1499,148.00999,148.075,553630,5min,USD,America/New_York,Common Stock
25-08-2021 13:15,148.21001,148.27,148.09,148.105,450259,5min,USD,America/New_York,Common Stock
25-08-2021 13:10,148.09,148.2775,148.0802,148.21001,418982,5min,USD,America/New_York,Common Stock
25-08-2021 15:59,148.38,148.395,148.34,148.37,506844,1min,USD,America/New_York,Common Stock
25-08-2021 15:58,148.41499,148.4599,148.37,148.38,255589,1min,USD,America/New_York,Common Stock
25-08-2021 15:57,148.46001,148.48,148.41,148.41499,216859,1min,USD,America/New_York,Common Stock
25-08-2021 15:56,148.45,148.49001,148.435,148.46001,200627,1min,USD,America/New_York,Common Stock
25-08-2021 15:55,148.5,148.53,148.425,148.455,254694,1min,USD,America/New_York,Common Stock
25-08-2021 15:54,148.50999,148.50999,148.435,148.505,282169,1min,USD,America/New_York,Common Stock
25-08-2021 15:53,148.505,148.52,148.465,148.50999,188236,1min,USD,America/New_York,Common Stock
25-08-2021 15:52,148.6073,148.61,148.505,148.515,244050,1min,USD,America/New_York,Common Stock
25-08-2021 15:51,148.58,148.62,148.57001,148.60001,181990,1min,USD,America/New_York,Common Stock
25-08-2021 15:50,148.57001,148.66,148.535,148.57001,218997,1min,USD,America/New_York,Common Stock
25-08-2021 15:49,148.605,148.60941,148.52499,148.57001,147106,1min,USD,America/New_York,Common Stock
25-08-2021 15:48,148.63499,148.6499,148.58099,148.60001,116905,1min,USD,America/New_York,Common Stock
25-08-2021 15:47,148.7,148.705,148.62061,148.6319,142664,1min,USD,America/New_York,Common Stock
25-08-2021 15:46,148.74001,148.75,148.67999,148.69501,164229,1min,USD,America/New_York,Common Stock
25-08-2021 15:45,148.645,148.74001,148.645,148.735,227785,1min,USD,America/New_York,Common Stock
25-08-2021 15:44,148.6088,148.64999,148.595,148.64,83670,1min,USD,America/New_York,Common Stock
25-08-2021 15:43,148.655,148.66,148.60001,148.61,124385,1min,USD,America/New_York,Common Stock
25-08-2021 15:42,148.515,148.67,148.515,148.655,187878,1min,USD,America/New_York,Common Stock
25-08-2021 15:41,148.519,148.52,148.47,148.515,138183,1min,USD,America/New_York,Common Stock
25-08-2021 15:40,148.485,148.52,148.485,148.51781,78817,1min,USD,America/New_York,Common Stock
25-08-2021 15:39,148.55,148.56,148.47,148.485,160318,1min,USD,America/New_York,Common Stock
25-08-2021 15:38,148.61011,148.64,148.55499,148.55499,169420,1min,USD,America/New_York,Common Stock
25-08-2021 15:37,148.565,148.6183,148.565,148.61,115225,1min,USD,America/New_York,Common Stock
25-08-2021 15:36,148.56,148.57001,148.53999,148.5699,107237,1min,USD,America/New_York,Common Stock
25-08-2021 15:35,148.5,148.56,148.5,148.56,167634,1min,USD,America/New_York,Common Stock
25-08-2021 15:34,148.44189,148.5,148.44,148.495,109018,1min,USD,America/New_York,Common Stock
25-08-2021 15:33,148.4901,148.52,148.44,148.44991,182747,1min,USD,America/New_York,Common Stock
25-08-2021 15:32,148.44,148.5,148.44,148.495,121528,1min,USD,America/New_York,Common Stock
25-08-2021 15:31,148.435,148.45,148.42999,148.44,82794,1min,USD,America/New_York,Common Stock
25-08-2021 15:30,148.3701,148.45,148.3701,148.435,139000,1min,USD,America/New_York,Common Stock
25-08-2021 15:55,148.5,148.53,148.34,148.37,1434613,5min,USD,America/New_York,Common Stock
25-08-2021 15:50,148.57001,148.66,148.435,148.505,1115442,5min,USD,America/New_York,Common Stock
25-08-2021 15:45,148.645,148.75,148.52499,148.57001,798689,5min,USD,America/New_York,Common Stock
25-08-2021 15:40,148.485,148.67,148.47,148.64,612933,5min,USD,America/New_York,Common Stock
25-08-2021 15:35,148.5,148.64,148.47,148.485,719834,5min,USD,America/New_York,Common Stock
25-08-2021 15:30,148.3701,148.52,148.3701,148.495,635087,5min,USD,America/New_York,Common Stock
25-08-2021 15:25,148.27499,148.39,148.27,148.3705,420861,5min,USD,America/New_York,Common Stock
25-08-2021 15:20,148.392,148.42999,148.27,148.2701,396137,5min,USD,America/New_York,Common Stock
25-08-2021 15:15,148.2963,148.42999,148.25999,148.395,541296,5min,USD,America/New_York,Common Stock
25-08-2021 15:10,148.35001,148.38989,148.265,148.295,492912,5min,USD,America/New_York,Common Stock
25-08-2021 15:05,148.31,148.38,148.27,148.34309,371093,5min,USD,America/New_York,Common Stock
25-08-2021 15:00,148.25999,148.36,148.215,148.31841,522375,5min,USD,America/New_York,Common Stock
25-08-2021 14:55,148.295,148.37,148.24001,148.26109,652774,5min,USD,America/New_York,Common Stock
25-08-2021 14:50,148.2321,148.36,148.185,148.28841,599365,5min,USD,America/New_York,Common Stock
25-08-2021 14:45,148.19501,148.28,148.14999,148.235,502856,5min,USD,America/New_York,Common Stock
25-08-2021 14:40,148.00999,148.22,148,148.19,579112,5min,USD,America/New_York,Common Stock
25-08-2021 14:35,148.0892,148.11,148.00999,148.02499,387299,5min,USD,America/New_York,Common Stock
25-08-2021 14:30,148.03,148.16499,148.03,148.08,531557,5min,USD,America/New_York,Common Stock
25-08-2021 14:25,147.89999,148.03999,147.89,148.035,347392,5min,USD,America/New_York,Common Stock
25-08-2021 14:20,147.995,147.995,147.82001,147.895,469121,5min,USD,America/New_York,Common Stock
25-08-2021 14:15,147.995,148.03,147.8998,147.99989,458140,5min,USD,America/New_York,Common Stock
25-08-2021 14:10,148.05,148.065,147.92,147.995,566224,5min,USD,America/New_York,Common Stock
25-08-2021 14:05,147.89,148.0899,147.87,148.05499,745655,5min,USD,America/New_York,Common Stock
25-08-2021 14:00,147.855,147.91,147.82001,147.89,328086,5min,USD,America/New_York,Common Stock
25-08-2021 13:55,147.87,147.87,147.82001,147.86,316709,5min,USD,America/New_York,Common Stock
25-08-2021 13:50,147.9299,147.94501,147.84,147.86501,350498,5min,USD,America/New_York,Common Stock
25-08-2021 13:45,147.97,148,147.895,147.925,360731,5min,USD,America/New_York,Common Stock
25-08-2021 13:40,147.9899,147.9899,147.9899,147.9899,0,5min,USD,America/New_York,Common Stock
25-08-2021 13:35,147.95,147.97,147.91,147.935,211585,5min,USD,America/New_York,Common Stock
25-08-2021 13:30,148.035,148.10001,147.94,147.94501,718050,5min,USD,America/New_York,Common Stock
